緯度,経度,施設名,ふりがな,住所,,区,電話番号　,施設情報,施設種別,0歳児,1歳児,2歳児,3歳児,4歳児,5歳児,月,指定園,新制度未移行園,ソート
34.632996,135.510202,松虫幼稚園,まつむしようちえん,阿倍野区王子町2丁目5-13,19,阿倍野区,06-6621-9115,http://www.astok.ne.jp/daishiyo/matsumushi/index.html,幼稚園,,,,,,,,,1,191385
34.628922,135.511795,むつみ幼稚園,むつみようちえん,阿倍野区阪南町3丁目22-8,19,阿倍野区,06-6624-0557,http://mutsumi.ed.jp/index.html,幼稚園,,,,,,,,1,1,191387
34.641781,135.525171,あべの翔学高等学校附属朝陽幼稚園,あべのしょうがくこうとうがっこうふぞくちょうようようちえん,阿倍野区天王寺町南2丁目26-3,19,阿倍野区,06-6719-2710,http://choyogakuin.jp/abeno-shogaku.fuzoku.cs/index.html,幼稚園,,,,,,,,,1,191376
34.633334,135.503652,朝陽幼稚園,ちようようようちえん,阿倍野区橋本町6-16,19,阿倍野区,06-6661-2996,http://choyogakuin.jp/choyo.cs/index.html,幼稚園,,,,,,,,,1,191377
34.636984,135.506728,聖愛幼稚園,せいあいようちえん,阿倍野区丸山通1丁目3-61,19,阿倍野区,06-6651-8039,http://www.seiai-kindergarten.jp/index.html,幼稚園,,,,,,,,1,1,191381
34.626015,135.518018,グレース幼稚園,ぐれ-すようちえん,阿倍野区昭和町4丁目3-19,19,阿倍野区,06-6622-1008,http://www.grace-kindergarten.jp/index.html,幼稚園,,,,,,,,1,1,191380
34.614043,135.478887,加賀幼稚園,かがようちえん,住之江区中加賀屋4丁目4-81,20,住之江区,06-6681-2169,http://www.kinder-kaga.com/index.html,幼稚園,,,,,,,,,1,201389
34.628823,135.428952,南港幼稚園,なんこうようちえん,住之江区南港中2丁目5-55,20,住之江区,06-6613-0900,http://www2.nanko.ed.jp/~nanko/index.html,幼稚園,,,,,,,,,1,201392
34.617394,135.479332,中かがや幼稚園,なかかがやようちえん,住之江区中加賀屋2丁目18-5,20,住之江区,06-6685-5525,http://www.nakakagaya.ed.jp/index.html,幼稚園,,,,,,,,,1,201391
34.627593,135.426031,アスール幼稚園,あす-るようちえん,住之江区南港中3丁目7-1,20,住之江区,06-6614-0700,http://www.ans.co.jp/k/azul/index.html,幼稚園,,,,,,,,,1,201388
34.601378,135.478359,大和幼稚園,やまとようちえん,住之江区北島3丁目3-11,20,住之江区,06-6681-1717,http://hanshiyo.or.jp/suminoe.html,幼稚園,,,,,,,,,1,201393
34.602766,135.504446,あびこ幼稚園,あびこようちえん,住吉区南住吉4丁目1-25,21,住吉区,06-6691-0029,http://www.eonet.ne.jp/~abiko/index.html,幼稚園,,,,,,,,,1,211395
34.603475,135.491153,清水幼稚園,しみずようちえん,住吉区清水丘1丁目24-10,21,住吉区,06-6673-4567,http://www.kinder-shimizu.com/index.html,幼稚園,,,,,,,,,1,211398
34.600629,135.499197,遠里小野幼稚園,おりおのようちえん,住吉区遠里小野1丁目2-25,21,住吉区,06-6691-3663,http://www.kinder-oriono.com/index.html,幼稚園,,,,,,,,,1,211396
34.607696,135.517103,長居幼稚園,ながいようちえん,住吉区長居東3丁目8-32,21,住吉区,06-6691-0190,http://www.ans.co.jp/k/nagai/index.html,幼稚園,,,,,,,,1,1,211400
34.601289,135.514346,ひまわり幼稚園,ひまわりようちえん,住吉区苅田5丁目17-25,21,住吉区,06-6697-4701,http://www2.himawari.gr.jp/~o-himawa/index.html,幼稚園,,,,,,,,,1,211402
34.619784,135.493717,東粉浜幼稚園,ひがしこはまようちえん,住吉区東粉浜2丁目11-14,21,住吉区,06-6671-7875,http://www.higashikohama-youchien.ed.jp/index.html,幼稚園,,,,,,,,,1,211401
34.603559,135.508303,よさみ幼稚園,よさみようちえん,住吉区我孫子2丁目10-5,21,住吉区,06-6691-3601,http://yosami.ed.jp/index.html,幼稚園,,,,,,,,,1,211404
34.608868,135.507627,愛児幼稚園,あいじようちえん,住吉区長居西3丁目1-14,21,住吉区,06-6691-0502,http://www.ans.co.jp/k/aijiyouchien/index.html,幼稚園,,,,,,,,,1,211394
34.619895,135.499693,帝塚山学院幼稚園,てづかやまがくいんようちえん,住吉区帝塚山中3丁目9-2,21,住吉区,06-6672-1151,http://www.tezukayama.ac.jp/kinder_garten/index.html,幼稚園,,,,,,,,,1,211399
34.604994,135.527435,プール幼稚園,ぷ-るようちえん,東住吉区矢田3丁目2-18,22,東住吉区,06-6698-7700,http://www.poole-kdg.com/index.html,幼稚園,,,,,,,,,1,221413
34.629639,135.526303,二葉幼稚園,ふたばようちえん,東住吉区北田辺6丁目14-26,22,東住吉区,06-6622-1571,http://www.futabayouchien.jp/index.html,幼稚園,,,,,,,,,1,221414
34.628858,135.531431,さつき幼稚園,さつきようちえん,東住吉区西今川2丁目4-12,22,東住吉区,06-6702-3780,http://www.satuki.ed.jp/index.html,幼稚園,,,,,,,,1,1,221407
34.637015,135.537056,第二すみれ幼稚園,だいにすみれようちえん,東住吉区杭全2丁目11-23,22,東住吉区,06-6713-0431,http://www.astok.ne.jp/daishiyo/2sumire/index.html,幼稚園,,,,,,,,,1,221409
34.623095,135.526274,平和幼稚園,へいわようちえん,東住吉区田辺4丁目13-9,22,東住吉区,06-6621-8838,http://www.oct.zaq.ne.jp/heiwa/index.html,幼稚園,,,,,,,,1,1,221415
34.616259,135.534739,中野幼稚園,なかのようちえん,東住吉区湯里1丁目13-6,22,東住吉区,06-6702-0032,http://nakanokids.jp/index.html,幼稚園,,,,,,,,1,1,221412
34.626262,135.521743,田辺幼稚園,たなべようちえん,東住吉区山坂1丁目19-24,22,東住吉区,06-6622-1788,http://www.ans.co.jp/k/tanabe/index.htm,幼稚園,,,,,,,,,1,221410
34.608617,135.532799,大阪芸術大学附属照ヶ丘幼稚園,おおさかげいだいふぞく てるがおかようちえん,東住吉区矢田2丁目18-16,22,東住吉区,06-6697-0913,http://www.kids.osaka-geidai.ac.jp/t/index.html,幼稚園,,,,,,,,,1,221411
34.610381,135.539097,城南学園幼稚園,じようなんがくえんようちえん,東住吉区湯里6丁目4-26,22,東住吉区,06-6702-5200,http://www.jonan.jp/youchien/index.html,幼稚園,,,,,,,,,1,221408
34.61116,135.562207,喜連東幼稚園,きれひがしようちえん,平野区喜連東5丁目1-63,23,平野区,06-6709-1587,http://kire-k.jp/about.php?id=3,幼稚園,,,,,,,,1,1,231417
34.613694,135.555614,喜連幼稚園,きれようちえん,平野区喜連6丁目2-2,23,平野区,06-6709-1885,http://kire-k.jp/index.html,幼稚園,,,,,,,,1,1,231416
34.628743,135.549134,西平野幼稚園,にしひらのようちえん,平野区平野上町1丁目2-2,23,平野区,06-6791-3939,http://www.nishihirano.com/index.html,幼稚園,,,,,,,,,1,231420
34.623349,135.554217,光源寺幼稚園,こうげんじようちえん,平野区平野本町4丁目11-5,23,平野区,06-6793-5005,http://www.kougenji-youchien.jp/index.html,幼稚園,,,,,,,,,1,231418
34.716639,135.513023,大淀幼稚園,おおよどようちえん,北区長柄西2丁目5-22,1,北区,06-6354-1972,http://www.astok.ne.jp/daishiyo/oyodo/index.html,幼稚園,,,,,,,,,1,11303
34.703756,135.504955,扇町同胞幼稚園,おおぎまちどうほうようちえん,北区神山町9-19,1,北区,06-6361-1235,http://www.astok.ne.jp/daishiyo/dobo/index.html,幼稚園,,,,,,,,,1,11301
34.710792,135.494141,中津相愛幼稚園,なかつそうあいようちえん,北区中津3丁目6-15,1,北区,06-6371-0412,http://www.nakatsusouai.jp/index.html,幼稚園,,,,,,,,,1,11304
34.701502,135.513525,太成学院天満幼稚園,たいせいがくいんてんまようちえん,北区与力町4-16,1,北区,06-6353-9580,http://www.tgu.ac.jp/temma_kg/index.html,幼稚園,,,,,,,,,1,11302
34.678323,135.512463,中央なにわ幼稚園,ちゆうおうなにわようちえん,中央区粉川町7-6,5,中央区,06-6761-3377,http://www.astok.ne.jp/daishiyo/c-naniwa/index.html,幼稚園,,,,,,,,,1,51317
34.678689,135.527955,城星学園幼稚園,じようせいがくえんようちえん,中央区玉造2丁目23-26,5,中央区,06-6941-5977,http://www.josei.ed.jp/html-k/index.html,幼稚園,,,,,,,,,1,51316
34.681025,135.455439,梅香幼稚園,ばいかようちえん,此花区梅香3丁目3-6,4,此花区,06-6461-1339,http://www.osaka-baika.com/index.html,幼稚園,,,,,,,,,,41315
34.656717,135.520512,真生幼稚園,しんせいようちえん,天王寺区真法院町15-15,9,天王寺区,06-6771-0153,http://www.k4.dion.ne.jp/~tenno-ji/shinsei/about.html,幼稚園,,,,,,,,1,,91328
34.713687,135.446041,佃幼稚園,つくだようちえん,西淀川区佃2丁目8-2,11,西淀川区,06-6471-3579,http://tsukuda-kinder.com/wordpress/index.html,幼稚園,,,,,,,,1,,111331
34.724457,135.534044,旭学園幼稚園,あさひがくえんようちえん,旭区赤川2丁目12-8,16,旭区,06-6928-5775,http://www.asahigakuen.ed.jp/index.html,幼稚園,,,,,,,,,,161358
34.690278,135.556296,放出幼稚園,はなてんようちえん,城東区放出西3丁目5-16,17,城東区,06-6961-4110,http://www.hanaten.ed.jp/index.html,幼稚園,,,,,,,,,,171369
34.701943,135.576873,諸口幼稚園,もろぐちようちえん,鶴見区諸口3丁目3-66,18,鶴見区,06-6911-3198,http://www.astok.ne.jp/daishiyo/moroguchi/index.html,幼稚園,,,,,,,,,,181374
34.635382,135.515496,南大阪幼稚園,みなみおおさかようちえん,阿倍野区阪南町1丁目30-5,19,阿倍野区,06-6622-2013,http://www.h5.dion.ne.jp/~mokinder/index.html,幼稚園,,,,,,,,,,191386
34.596891,135.498843,建国幼稚園,けんこくようちえん,住吉区遠里小野2丁目3-13,21,住吉区,06-6691-1231,http://www.astok.ne.jp/daishiyo/kenkoku/index.html,幼稚園,,,,,,,,,,211397
34.631189,135.489841,岸の里幼稚園,きしのさとようちえん,西成区千本南1丁目10-26,24,西成区,06-6661-7396,http://www.kishinosato-kg.net/link,幼稚園,,,,,,,,,,241422
34.618176,135.549357,大阪教育大学附属幼稚園,おおさかきょういくだいがくふぞくようちえん,平野区流町2丁目1-79,23,平野区,06-6709-9400,http://www.fuzoku-k.oku.ed.jp/index.html,幼稚園,,,,,,,,,1,231401
